Hours,Infected,Recovered,Dead
0,1,0,0
1,1,0,0
2,2,0,0
3,6,0,0
4,6,0,0
5,6,0,0
6,7,0,0
7,7,0,0
8,8,0,0
9,8,0,0
10,9,0,0
11,10,0,0
12,15,0,0
13,15,0,0
14,17,0,0
15,21,0,0
16,26,0,0
17,31,0,0
18,34,0,0
19,39,0,0
20,44,0,0
21,47,0,0
22,54,0,0
23,62,0,0
24,68,0,0
25,71,0,0
26,82,0,0
27,88,0,0
28,92,0,0
29,103,0,0
30,115,0,0
31,123,0,0
32,135,0,0
33,144,0,0
34,153,0,0
35,161,0,0
36,169,0,0
37,182,0,0
38,190,0,0
39,198,0,0
40,214,0,0
41,222,0,0
42,233,0,0
43,242,0,0
44,253,0,0
45,262,0,0
46,275,0,0
47,284,0,0
48,294,0,0
49,308,0,0
50,317,0,0
51,322,0,0
52,330,0,0
53,335,0,0
54,345,0,0
55,353,0,0
56,360,0,0
57,361,0,0
58,367,0,0
59,374,0,0
60,380,0,0
61,382,0,0
62,385,0,0
63,388,0,0
64,391,0,0
65,396,0,0
66,402,0,0
67,408,0,0
68,410,0,0
69,412,0,0
70,415,0,0
71,416,0,0
72,418,1,0
73,421,1,0
74,424,2,0
75,424,6,0
76,428,6,0
77,430,6,0
78,429,7,0
79,434,7,0
80,435,8,0
81,440,8,0
82,443,9,0
83,444,10,0
84,442,15,0
85,447,15,0
86,446,17,0
87,444,21,0
88,440,26,0
89,437,31,0
90,436,34,0
91,432,39,0
92,428,44,0
93,425,47,0
94,419,54,0
95,412,62,0
96,408,68,0
97,407,71,0
98,398,82,0
99,393,88,0
100,389,92,0
101,378,103,0
102,366,115,0
103,360,123,0
104,348,135,0
105,339,144,0
106,333,153,0
107,325,161,0
108,318,169,0
109,305,182,0
110,297,190,0
111,289,198,0
112,274,214,0
113,269,221,1
114,258,233,1
115,249,242,1
116,239,252,2
117,229,262,2
118,218,275,2
119,209,284,2
120,200,293,3
121,185,308,3
122,178,315,5
123,172,322,5
124,164,330,5
125,159,335,5
126,149,345,5
127,141,353,5
128,134,360,5
129,133,361,5
130,128,367,5
131,121,374,5
132,115,380,5
133,113,382,5
134,110,385,5
135,107,388,5
136,104,391,5
137,99,396,5
138,93,402,5
139,88,408,5
140,86,410,5
141,84,412,5
142,81,415,5
143,80,416,5
144,77,419,5
145,74,422,5
146,70,426,5
147,66,430,5
148,63,434,5
149,61,436,5
150,61,436,5
151,57,440,6
152,55,443,6
153,50,448,6
154,47,451,7
155,44,454,7
156,42,457,7
157,37,462,7
158,36,463,7
159,34,465,7
160,33,466,7
161,31,468,7
162,29,470,7
163,28,471,7
164,27,472,7
165,27,472,7
166,26,473,7
167,25,474,7
